"filename", "language", "Java", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\misc.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\AuthenticationController.java", "Java", 76, 0, 0, 0, 0, 9, 20, 105
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeController.class", "Java", 32, 0, 0, 0, 0, 0, 0, 32
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeController.java", "Java", 44, 0, 0, 0, 0, 0, 13, 57
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeMode.class", "Java", 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ViewControllerController.java", "Java", 62, 0, 0, 0, 0, 5, 10, 77
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Exports\AttendenceReport_d0615189-e5c2-4102-b5a5-e12ffe10cd43.csv", "CSV", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Main.java", "Java", 10, 0, 0, 0, 0, 21, 13, 44
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Abstract\AUser.java", "Java", 22, 0, 0, 0, 0, 0, 8, 30
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Action.java", "Java", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\AttendanceReport.java", "Java", 54, 0, 0, 0, 0, 1, 8, 63
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Attendees.java", "Java", 59, 0, 0, 0, 0, 0, 13, 72
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Camp.class", "Java", 49, 0, 0, 0, 0, 0, 0, 49
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Camp.java", "Java", 194, 0, 0, 0, 0, 18, 53, 265
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMember.class", "Java", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMember.java", "Java", 12, 0, 0, 0, 0, 1, 7, 20
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMembers.java", "Java", 40, 0, 0, 0, 0, 0, 12, 52
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampList.java", "Java", 101, 0, 0, 0, 0, 0, 29, 130
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Enquiry.java", "Java", 43, 0, 0, 0, 0, 2, 13, 58
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryList.java", "Java", 62, 0, 0, 0, 0, 5, 18, 85
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponse.class", "Java", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponse.java", "Java", 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponseList.java", "Java", 44, 0, 0, 0, 0, 1, 11, 56
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Interface\ICampInformation.java", "Java", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\PerformanceReport.java", "Java", 55, 0, 0, 0, 0, 0, 8, 63
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\PermissionList.java", "Java", 46, 0, 0, 0, 0, 3, 8, 57
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Report.java", "Java", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Staff.class", "Java", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Staff.java", "Java", 11, 0, 0, 0, 0, 0, 6, 17
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Student.class", "Java", 27, 0, 0, 0, 0, 0, 0, 27
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Student.java", "Java", 16, 0, 0, 0, 0, 2, 10, 28
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Suggestion.class", "Java", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Suggestion.java", "Java", 20, 0, 0, 0, 0, 0, 8, 28
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\SuggestionList.class", "Java", 29, 0, 0, 0, 0, 0, 0, 29
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\SuggestionList.java", "Java", 97, 0, 0, 0, 0, 2, 18, 117
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Token.java", "Java", 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\SC2002Assignment.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\DatabaseUtils.java", "Java", 403, 0, 0, 0, 0, 5, 79, 487
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\InputUtils.java", "Java", 177, 0, 0, 0, 0, 2, 13, 192
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\PageUtils.java", "Java", 151, 0, 0, 0, 0, 0, 43, 194
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ThemeUtils.java", "Java", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\HomeView.java", "Java", 54, 0, 0, 0, 0, 1, 19, 74
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\ProfileView.java", "Java", 60, 0, 0, 0, 0, 3, 8, 71
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Authentications\LoginView.java", "Java", 67, 0, 0, 0, 0, 3, 13, 83
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListStaffMenuView.java", "Java", 137, 0, 0, 0, 0, 1, 22, 160
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListView.java", "Java", 181, 0, 0, 0, 0, 2, 19, 202
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampView.java", "Java", 178, 0, 0, 0, 0, 3, 21, 202
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryListView.java", "Java", 95, 0, 0, 0, 0, 2, 12, 109
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryView.java", "Java", 96, 0, 0, 0, 0, 1, 11, 108
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Interfaces\IView.java", "Java", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionListView.java", "Java", 128, 0, 0, 0, 0, 5, 14, 147
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionView.java", "Java", 49, 0, 0, 0, 0, 6, 12, 67
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\details.md", "Markdown", 0, 0, 119, 0, 0, 0, 6, 125
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\diff.csv", "CSV", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\results.csv", "CSV", 0, 0, 0, 112, 0, 0, 0, 112
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\results.md", "Markdown", 0, 0, 49, 0, 0, 0, 7, 56
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.idea\misc.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Controllers\ThemeController.class", "Java", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Controllers\ThemeMode.class", "Java", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Exports\AttendenceReport_d0615189-e5c2-4102-b5a5-e12ffe10cd43.csv", "CSV", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Abstract\AUser.class", "Java", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\AttendanceReport.class", "Java", 55, 0, 0, 0, 0, 0, 0, 55
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Attendees.class", "Java", 39, 0, 0, 0, 0, 0, 0, 39
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Camp.class", "Java", 58, 0, 0, 0, 0, 29, 0, 87
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampCommiteeMember.class", "Java", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampCommiteeMembers.class", "Java", 28, 0, 0, 0, 0, 0, 0, 28
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampList.class", "Java", 92, 0, 0, 0, 0, 0, 0, 92
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Enquiry.class", "Java", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryList.class", "Java", 42, 0, 0, 0, 0, 0, 0, 42
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryResponse.class", "Java", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryResponseList.class", "Java", 36, 0, 0, 0, 0, 0, 0, 36
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Interface\ICampInformation.class", "Java", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\PerformanceReport.class", "Java", 59, 0, 0, 0, 0, 0, 0, 59
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\PermissionList$PermissionType.class", "Java", 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\PermissionList.class", "Java", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Report.class", "Java", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Staff.class", "Java", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Student.class", "Java", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Suggestion.class", "Java", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\SuggestionList.class", "Java", 76, 0, 0, 0, 0, 0, 0, 76
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\SC2002Assignment.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Views\Camps\CampListStaffMenuView.class", "Java", 74, 0, 0, 0, 0, 0, 0, 74
"Total", "-", 3882, 60, 193, 124, 1, 134, 636, 5030